,hits,kills,headshots,accuracy,shots,deaths,weapon,user,ranking,weapontype_weapon_assault_rifle,weapontype_weapon_launcher,weapontype_weapon_lmg,weapontype_weapon_marksman,weapontype_weapon_melee,weapontype_weapon_other,weapontype_weapon_pistol,weapontype_weapon_shotgun,weapontype_weapon_smg,weapontype_weapon_sniper,gametype_battle,gametype_psn,gametype_xbl
0,1995.0,549.0,104.0,0.1898011606888022,10511.0,135.0,iw8_sm_victor,ChillItWasntMe,10,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1692.0,1194.0,156.0,0.7289961223610513,2321.0,691.0,iw8_sh_charlie725,yungswagboi%231286,51,0,0,0,0,0,0,0,1,0,0,1,0,0
2,1136.0,2211.0,453.0,0.9250814332247556,1228.0,40.0,iw8_sh_romeo870,L_fras,47,0,0,0,0,0,0,0,1,0,0,0,1,0
3,1312.0,538.0,140.0,0.17481678880746168,7505.0,343.0,iw8_lm_mgolf34,DBigPapi2007,24,0,0,1,0,0,0,0,0,0,0,0,1,0
4,97.0,19.0,7.0,0.3579335793357933,271.0,16.0,iw8_sm_charlie9,Los_Blancos44,34,0,0,0,0,0,0,0,0,1,0,0,1,0
5,473.0,562.0,166.0,0.6391891891891892,740.0,71.0,iw8_sn_hdromeo,caa%2311577,26,0,0,0,0,0,0,0,0,0,1,1,0,0
6,2415.0,647.0,182.0,0.2625570776255708,9198.0,218.0,iw8_sm_beta,Bdubzs%231713,8,0,0,0,0,0,0,0,0,1,0,1,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,iw8_lm_mkilo3,Hayabusa,2,0,0,1,0,0,0,0,0,0,0,0,0,1
8,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblunt,Biggie%2321705,9,0,0,0,0,1,0,0,0,0,0,1,0,0
9,698.0,615.0,311.0,0.3728632478632479,1872.0,110.0,iw8_sn_mike14,easyB%2321571,3,0,0,0,1,0,0,0,0,0,0,1,0,0
10,664.0,328.0,52.0,0.24868913857677905,2670.0,225.0,iw8_pi_golf21,Bdongowns,22,0,0,0,0,0,0,1,0,0,0,0,0,1
11,961.0,667.0,85.0,0.7712680577849117,1246.0,522.0,iw8_sh_romeo870,yungswagboi%231286,51,0,0,0,0,0,0,0,1,0,0,1,0,0
12,2756.0,1522.0,255.0,0.5286783042394015,5213.0,819.0,iw8_pi_cpapa,ryva1%232844,50,0,0,0,0,0,0,1,0,0,0,1,0,0
13,1978.0,1011.0,208.0,0.2979813196746008,6638.0,198.0,iw8_ar_asierra12,xtddxZ%231539,17,1,0,0,0,0,0,0,0,0,0,1,0,0
14,4928.0,1130.0,314.0,0.2049661023998669,24043.0,606.0,iw8_ar_kilo433,AtomicCow_,57,1,0,0,0,0,0,0,0,0,0,0,1,0
15,195.0,164.0,7.0,0.2620967741935484,744.0,282.0,iw8_la_kgolf,Ketameme,6,0,1,0,0,0,0,0,0,0,0,0,1,0
16,2175.0,979.0,792.0,0.4352611566940164,4997.0,147.0,iw8_pi_golf21,cheesepufftyler,36,0,0,0,0,0,0,1,0,0,0,0,1,0
