,hits,kills,headshots,accuracy,shots,deaths,weapon,user,ranking,weapontype_weapon_assault_rifle,weapontype_weapon_launcher,weapontype_weapon_lmg,weapontype_weapon_marksman,weapontype_weapon_melee,weapontype_weapon_other,weapontype_weapon_pistol,weapontype_weapon_shotgun,weapontype_weapon_smg,weapontype_weapon_sniper,gametype_battle,gametype_psn,gametype_xbl
0,-0.16783978972540928,-0.21749363903149782,-0.27503505323687816,-0.4877099579421153,-0.07139898500650499,-0.3299189916090999,iw8_sm_victor,ChillItWasntMe,10,0,0,0,0,0,0,0,0,1,0,0,0,1
1,-0.20068543648316892,0.011233252612357029,-0.17967862366496826,2.3108854502535983,-0.2873235918332754,0.07864211908072116,iw8_sh_charlie725,yungswagboi%231286,51,0,0,0,0,0,0,0,1,0,0,1,0,0
2,-0.26095665627628567,0.3718770492042956,0.3649532913899787,3.3286313299551953,-0.31613990383103613,-0.3997270950543031,iw8_sh_romeo870,L_fras,47,0,0,0,0,0,0,0,1,0,0,0,1,0
3,-0.24187799677342856,-0.2213944077261992,-0.20901906353324823,-0.5654836712048645,-0.1506504341055614,-0.1770759861711812,iw8_lm_mgolf34,DBigPapi2007,24,0,0,1,0,0,0,0,0,0,0,0,1,0
4,-0.3735857882278113,-0.4054397670489289,-0.4529114699383255,0.38495141362374924,-0.34137065459211297,-0.41736282645098605,iw8_sm_charlie9,Los_Blancos44,34,0,0,0,0,0,0,0,0,1,0,0,1,0
5,-0.3328268338353439,-0.21288363966503251,-0.16134084874729326,1.8447585598623524,-0.32900574120972526,-0.376947608666921,iw8_sn_hdromeo,caa%2311577,26,0,0,0,0,0,0,0,0,0,1,1,0,0
6,-0.12231117045722759,-0.18274133611506715,-0.1320004088790133,-0.11008333022507666,-0.10601546959301897,-0.2689287538622381,iw8_sm_beta,Bdubzs%231713,8,0,0,0,0,0,0,0,0,1,0,1,0,0
7,-0.38410073124927235,-0.4121774584306859,-0.46574791238069796,-1.4728390754815621,-0.34851541264462266,-0.4291199807154413,iw8_lm_mkilo3,Hayabusa,2,0,0,1,0,0,0,0,0,0,0,0,0,1
8,-0.38410073124927235,-0.4121774584306859,-0.46574791238069796,-1.4728390754815621,-0.34851541264462266,-0.4291199807154413,iw8_me_akimboblunt,Biggie%2321705,9,0,0,0,0,1,0,0,0,0,0,1,0,0
9,-0.30843650208453227,-0.1940890268632894,0.10455688755899395,0.4624411988718094,-0.2991612167985037,-0.34828954514731125,iw8_sn_mike14,easyB%2321571,3,0,0,0,1,0,0,0,0,0,0,1,0,0
10,-0.31212215221576606,-0.2958636282614078,-0.37039148280878803,-0.18206239772733906,-0.27812240895384405,-0.2637849988715389,iw8_pi_golf21,Bdongowns,22,0,0,0,0,0,0,1,0,0,0,0,0,1
11,-0.2799269143046947,-0.17564902939742824,-0.3098768255804606,2.5302904016757366,-0.3156653442555927,-0.04554282283758775,iw8_sh_romeo870,yungswagboi%231286,51,0,0,0,0,0,0,0,1,0,0,1,0,0
12,-0.08534626767044197,0.12754708278163515,0.0018653480200140544,1.2711714955156455,-0.21107768671202753,0.1726993531963634,iw8_pi_cpapa,ryva1%232844,50,0,0,0,0,0,0,1,0,0,0,1,0,0
