,kdRatio
538,4.066666666666666
2793,1.7279305354558612
2574,55.275
1272,1.5685131195335278
1862,1.1875
1378,7.915492957746477
426,2.9678899082568813
61,0.0
489,0.0
160,5.590909090909091
1177,1.4577777777777778
2795,1.2777777777777777
2718,1.8583638583638584
909,5.106060606060606
3115,1.8646864686468647
288,0.5815602836879432
1950,6.659863945578233
1489,3.3506493506493507
2879,0.7733333333333333
3218,1.5511811023622046
939,1.0893203883495146
715,2.9898989898989905
2443,1.6581196581196582
353,3.5147679324894514
2494,0.2222222222222222
222,1.765625
286,0.6621315192743764
2536,0.2334710743801653
2090,1.4056603773584906
2672,1.8900862068965518
2378,13.666666666666664
2850,1.4715099715099715
1567,0.797979797979798
784,1.8421985815602842
3192,1.8061901252763448
1494,0.0
881,2.5555555555555562
3047,1.0
3339,2.2769485903814264
3052,2.6487638533674343
1386,4.0
414,0.0
2239,0.0
2604,1.25
3300,2.6910656620021527
2680,0.6862170087976539
1085,1.7372013651877134
1607,1.1333333333333333
136,4.715133531157268
2045,1.3523131672597866
3104,1.5461741424802111
2918,2.25
262,0.0
1562,1.4404761904761905
731,3.4162520729684918
901,4.203947368421051
1375,0.8888888888888888
62,10.918032786885245
3493,1.6929133858267718
1427,2.793388429752066
1054,3.0
2749,1.6
271,1.9257425742574257
1912,2.8
529,2.2753036437246963
2335,2.359289617486339
3110,2.0866247755834832
3317,2.3468118195956453
1441,1.7859237536656891
623,1.0
549,1.0152284263959392
617,2.0859259259259257
888,3.6614785992217898
1245,0.6976744186046512
1605,0.8378378378378378
139,9.848
1134,2.5704545454545453
3105,1.9069767441860463
2218,1.0727272727272728
1383,0.3478260869565217
906,4.5602605863192185
1966,2.023130715438408
1511,2.083850931677018
668,0.9715447154471544
3480,0.8852772466539197
3568,0.0
2164,2.8571428571428568
2490,1.6666666666666667
1984,0.5789473684210527
2278,1.1886792452830188
2169,0.8231046931407943
1415,1.3376623376623376
2485,1.09
1517,1.8087431693989071
175,2.75
1263,1.6666666666666667
1609,1.903225806451613
1401,0.0
1822,1.4431486880466473
926,5.6394557823129245
2829,1.3407792207792208
3244,2.0
1789,3.136986301369863
2657,1.76
3075,1.598360655737705
1957,1.1964679911699778
3050,1.615819209039548
3174,3.1953232462173315
1528,0.0
2283,1.3918770581778266
3569,0.0
2151,1.0415913200723328
2959,1.714705882352941
1283,1.3188854489164086
3190,1.5541984732824428
2237,2.241234221598878
1544,1.74
389,0.5373134328358209
1003,0.0
199,2.21484375
2477,1.650632911392405
2989,0.5384615384615384
1952,6.729166666666668
2877,1.6859653075016896
1038,1.958100558659218
1656,0.8623853211009175
1443,0.6136363636363636
660,1.1009758167161643
2876,1.4232142857142858
373,9.47191011235955
1621,1.5853998085791352
1589,1.1375921375921376
2654,2.9103773584905666
714,3.4813664596273286
1387,0.25
2508,1.6621761658031091
167,4.916666666666667
2393,2.076532295309098
2385,1.4481012658227848
2598,13.0
59,0.0
2627,1.4872611464968153
1063,1.0
2350,1.4536423841059605
470,0.8
3041,0.0
1345,5.804878048780488
3395,1.3440968718466195
828,0.0
3551,0.0
1557,0.9571984435797666
3167,2.6241379310344826
2567,2937.0
2692,2.5320855614973263
2746,2.2
3263,1.4
2122,2.1470588235294117
2760,1.2027334851936218
1062,2.004531722054381
1237,3.5
1330,2.6842105263157894
2595,2.4589371980676327
1718,3.0
644,1.987673343605547
1571,1.160621761658031
2797,1.641008174386921
3275,2.691211401425178
2110,0.0
2885,1.3464373464373465
2605,0.2
1201,2.1586538461538463
331,0.0
1992,1.8974358974358967
1860,2.337278106508876
1257,4.779759519038077
1739,4.605633802816901
2873,1.5132743362831858
1255,1.0528846153846154
2270,0.5168316831683168
1634,1.5789473684210529
2667,2.16
2465,1.6462467644521142
3261,1.8710865561694288
337,1.1088825214899714
833,0.6061643835616438
3509,1.803463203463204
154,3.133792048929663
857,52.66666666666666
430,3.0
1455,1.3849315068493149
1221,1.879518072289157
1045,0.0
2724,1.7735849056603774
2902,0.6882793017456359
2666,1.80859375
1694,1.7741935483870968
810,3.051282051282051
2461,1.6594059405940593
147,3.443438914027149
2665,1.4777327935222673
2960,1.5084745762711864
3517,1.0650835532102023
1046,0.5179856115107914
3311,2.0685920577617334
556,1.296875
2027,0.0
2544,2385.0
3389,2.431137724550898
2770,1.2727272727272727
3615,1.8685567010309283
241,1.7504424778761063
1005,0.0
209,3.2337662337662336
3578,0.0
3580,0.0
2419,2.0
2375,0.0
1013,2.1022480058013047
2301,1.3574993433149465
838,1.6045016077170418
398,1.04
354,2.260038240917781
1555,0.25
2402,2.1029411764705883
1585,1.5239726027397258
3611,1.7876254180602007
3268,1.9134615384615383
465,5.301310043668122
802,1.3139097744360901
