hits,kills,kdRatio,headshots,accuracy,shots,deaths,weapon,weapontype,user,gametype,headShots
935.0,1056.0,3.171171171171171,336.0,0.6292059219380888,1486.0,333.0,iw8_sn_alpha50,weapon_sniper,xBxllin%231862,battle,
308.0,364.0,13.0,319.0,0.7048054919908466,437.0,28.0,iw8_sn_hdromeo,weapon_sniper,xBxllin%231862,battle,
490.0,510.0,12.142857142857142,431.0,0.6094527363184079,804.0,42.0,iw8_sn_delta,weapon_sniper,xBxllin%231862,battle,
148.0,185.0,2.371794871794872,23.0,0.42528735632183906,348.0,78.0,iw8_sn_xmike109,weapon_sniper,xBxllin%231862,battle,
0.0,0.0,,,,0.0,0.0,equip_gas_grenade,tacticals,xBxllin%231862,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_snapshot_grenade,tacticals,xBxllin%231862,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_decoy,tacticals,xBxllin%231862,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_smoke,tacticals,xBxllin%231862,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_concussion,tacticals,xBxllin%231862,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_hb_sensor,tacticals,xBxllin%231862,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_flash,tacticals,xBxllin%231862,battle,0.0
0.0,0.0,,,,0.0,0.0,equip_adrenaline,tacticals,xBxllin%231862,battle,0.0
0.0,46.0,,,,0.0,0.0,equip_frag,lethals,xBxllin%231862,battle,0.0
0.0,49.0,,,,0.0,0.0,equip_thermite,lethals,xBxllin%231862,battle,0.0
0.0,9.0,,,,0.0,0.0,equip_semtex,lethals,xBxllin%231862,battle,0.0
0.0,3.0,,,,0.0,0.0,equip_claymore,lethals,xBxllin%231862,battle,0.0
0.0,4.0,,,,0.0,0.0,equip_c4,lethals,xBxllin%231862,battle,0.0
0.0,3.0,,,,0.0,0.0,equip_at_mine,lethals,xBxllin%231862,battle,0.0
0.0,14.0,,,,0.0,0.0,equip_throwing_knife,lethals,xBxllin%231862,battle,0.0
0.0,3.0,,,,0.0,0.0,equip_molotov,lethals,xBxllin%231862,battle,0.0
3228.0,1395.0,4.008620689655173,549.0,0.2622471362417743,12309.0,348.0,iw8_lm_kilo121,weapon_lmg,xBxllin%231862,battle,
2390.0,758.0,3.626794258373206,289.0,0.30403256583131916,7861.0,209.0,iw8_lm_mkilo3,weapon_lmg,xBxllin%231862,battle,
857.0,603.0,12.306122448979592,479.0,0.24168076706147773,3546.0,49.0,iw8_lm_mgolf34,weapon_lmg,xBxllin%231862,battle,
685.0,712.0,59.333333333333336,147.0,0.38034425319267073,1801.0,12.0,iw8_lm_lima86,weapon_lmg,xBxllin%231862,battle,
519.0,479.0,14.515151515151516,198.0,0.16223819943732418,3199.0,33.0,iw8_lm_pkilo,weapon_lmg,xBxllin%231862,battle,
1621.0,565.0,70.625,503.0,0.42714097496706194,3795.0,8.0,iw8_lm_mgolf36,weapon_lmg,xBxllin%231862,battle,
118.0,401.0,1.8063063063063063,34.0,0.23046875,512.0,222.0,iw8_la_gromeo,weapon_launcher,xBxllin%231862,battle,
169.0,228.0,1.5510204081632653,27.0,0.2893835616438356,584.0,147.0,iw8_la_rpapa7,weapon_launcher,xBxllin%231862,battle,
112.0,272.0,0.9444444444444444,0.0,0.178060413354531,629.0,288.0,iw8_la_juliet,weapon_launcher,xBxllin%231862,battle,
181.0,189.0,1.75,40.0,0.44471744471744473,407.0,108.0,iw8_la_kgolf,weapon_launcher,xBxllin%231862,battle,
0.0,0.0,0.0,0.0,0.0,6.0,0.0,iw8_la_mike32,weapon_launcher,xBxllin%231862,battle,
723.0,602.0,2.37007874015748,323.0,0.4196169471851422,1723.0,254.0,iw8_pi_cpapa,weapon_pistol,xBxllin%231862,battle,
1779.0,613.0,1.9276729559748427,131.0,0.27827311121539183,6393.0,318.0,iw8_pi_mike9,weapon_pistol,xBxllin%231862,battle,
572.0,411.0,4.151515151515151,288.0,0.32667047401484867,1751.0,99.0,iw8_pi_mike1911,weapon_pistol,xBxllin%231862,battle,
2434.0,667.0,6.1192660550458715,302.0,0.41177465741837255,5911.0,109.0,iw8_pi_golf21,weapon_pistol,xBxllin%231862,battle,
500.0,460.0,3.4586466165413534,266.0,0.35561877667140823,1406.0,133.0,iw8_pi_decho,weapon_pistol,xBxllin%231862,battle,
623.0,376.0,4.476190476190476,226.0,0.29652546406473107,2101.0,84.0,iw8_pi_papa320,weapon_pistol,xBxllin%231862,battle,
1854.0,1074.0,3.716262975778547,301.0,0.24736490993995996,7495.0,289.0,iw8_ar_falima,weapon_assault_rifle,xBxllin%231862,battle,
2995.0,915.0,3.23321554770318,306.0,0.26107043235704325,11472.0,283.0,iw8_ar_tango21,weapon_assault_rifle,xBxllin%231862,battle,
11753.0,2884.0,3.453892215568862,599.0,0.30815416885159935,38140.0,835.0,iw8_ar_mike4,weapon_assault_rifle,xBxllin%231862,battle,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_ar_anovember94,weapon_assault_rifle,xBxllin%231862,battle,
1828.0,1040.0,5.683060109289618,682.0,0.2913147410358566,6275.0,183.0,iw8_ar_falpha,weapon_assault_rifle,xBxllin%231862,battle,
5725.0,2135.0,4.236111111111111,1073.0,0.25345316097042675,22588.0,504.0,iw8_ar_mcharlie,weapon_assault_rifle,xBxllin%231862,battle,
2753.0,1279.0,5.560869565217391,524.0,0.27892603850050657,9870.0,230.0,iw8_ar_akilo47,weapon_assault_rifle,xBxllin%231862,battle,
2375.0,908.0,3.388059701492537,176.0,0.23371383585908287,10162.0,268.0,iw8_ar_kilo433,weapon_assault_rifle,xBxllin%231862,battle,
2100.0,804.0,3.671232876712329,393.0,0.31203566121842496,6730.0,219.0,iw8_ar_scharlie,weapon_assault_rifle,xBxllin%231862,battle,
2702.0,1056.0,1.9095840867992766,142.0,0.29003864319450406,9316.0,553.0,iw8_ar_asierra12,weapon_assault_rifle,xBxllin%231862,battle,
3227.0,1052.0,2.8743169398907105,175.0,0.27946652810253747,11547.0,366.0,iw8_ar_galima,weapon_assault_rifle,xBxllin%231862,battle,
8380.0,2107.0,3.2415384615384615,443.0,0.311848764513248,26872.0,650.0,iw8_ar_sierra552,weapon_assault_rifle,xBxllin%231862,battle,
0.0,278.0,4.964285714285714,0.0,0.0,0.0,56.0,iw8_me_riotshield,weapon_other,xBxllin%231862,battle,
224.0,143.0,1.4158415841584158,37.0,0.47257383966244726,474.0,101.0,iw8_sh_mike26,weapon_shotgun,xBxllin%231862,battle,
2556.0,2218.0,3.0217983651226157,557.0,0.656731757451182,3892.0,734.0,iw8_sh_charlie725,weapon_shotgun,xBxllin%231862,battle,
797.0,611.0,2.9950980392156863,301.0,0.48656898656898656,1638.0,204.0,iw8_sh_oscar12,weapon_shotgun,xBxllin%231862,battle,
666.0,588.0,3.5421686746987953,147.0,0.715359828141783,931.0,166.0,iw8_sh_romeo870,weapon_shotgun,xBxllin%231862,battle,
582.0,554.0,3.4625,345.0,0.714987714987715,814.0,160.0,iw8_sh_dpapa12,weapon_shotgun,xBxllin%231862,battle,
2556.0,635.0,3.9440993788819876,160.0,0.2803861342694164,9116.0,161.0,iw8_sm_mpapa7,weapon_smg,xBxllin%231862,battle,
4615.0,1161.0,7.9520547945205475,677.0,0.4033738309588323,11441.0,146.0,iw8_sm_augolf,weapon_smg,xBxllin%231862,battle,
1816.0,479.0,14.96875,384.0,0.3000165207335206,6053.0,32.0,iw8_sm_papa90,weapon_smg,xBxllin%231862,battle,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_sm_charlie9,weapon_smg,xBxllin%231862,battle,
7686.0,1995.0,3.3529411764705883,311.0,0.29152285226626207,26365.0,595.0,iw8_sm_mpapa5,weapon_smg,xBxllin%231862,battle,
1648.0,519.0,3.9618320610687023,134.0,0.3506382978723404,4700.0,131.0,iw8_sm_smgolf45,weapon_smg,xBxllin%231862,battle,
2423.0,1111.0,5.215962441314554,391.0,0.27039392924896777,8961.0,213.0,iw8_sm_beta,weapon_smg,xBxllin%231862,battle,
772.0,146.0,4.171428571428572,29.0,0.28103385511467055,2747.0,35.0,iw8_sm_victor,weapon_smg,xBxllin%231862,battle,
1689.0,600.0,8.823529411764707,478.0,0.2943534332520042,5738.0,68.0,iw8_sm_uzulu,weapon_smg,xBxllin%231862,battle,
918.0,891.0,2.5530085959885387,383.0,0.6361746361746362,1443.0,349.0,iw8_sn_sbeta,weapon_marksman,xBxllin%231862,battle,
35.0,98.0,2.9696969696969697,29.0,0.16666666666666666,210.0,33.0,iw8_sn_crossbow,weapon_marksman,xBxllin%231862,battle,
621.0,684.0,4.170731707317073,425.0,0.6179104477611941,1005.0,164.0,iw8_sn_kilo98,weapon_marksman,xBxllin%231862,battle,
544.0,453.0,4.819148936170213,325.0,0.41274658573596357,1318.0,94.0,iw8_sn_mike14,weapon_marksman,xBxllin%231862,battle,
428.0,394.0,2.962406015037594,168.0,0.2589231699939504,1653.0,133.0,iw8_sn_sksierra,weapon_marksman,xBxllin%231862,battle,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblunt,weapon_melee,xBxllin%231862,battle,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_me_akimboblades,weapon_melee,xBxllin%231862,battle,
0.0,253.0,2.1810344827586206,0.0,0.0,0.0,116.0,iw8_knife,weapon_melee,xBxllin%231862,battle,
626.0,644.0,10.0625,594.0,0.7578692493946732,826.0,64.0,iw8_sn_alpha50,weapon_sniper,Hayabusa,xbl,
548.0,559.0,34.9375,497.0,0.8670886075949367,632.0,16.0,iw8_sn_hdromeo,weapon_sniper,Hayabusa,xbl,
467.0,473.0,16.310344827586206,425.0,0.7770382695507487,601.0,29.0,iw8_sn_delta,weapon_sniper,Hayabusa,xbl,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,iw8_sn_xmike109,weapon_sniper,Hayabusa,xbl,
0.0,0.0,,,,0.0,0.0,equip_gas_grenade,tacticals,Hayabusa,xbl,0.0
0.0,0.0,,,,0.0,0.0,equip_snapshot_grenade,tacticals,Hayabusa,xbl,0.0
